Data or MC,SP mode,Run,Skim,# of events (Data or MC),# of events (Data or MC) NOT SURE WHICH NUMBER TO USE,Luminosity (Data only) 1/pb,# of collections/files (Data or MC),Missing collections?
Data,-1,1,None,292554209,928849927,20782.9,3306,1
Data,-1,2,None,958854016,2255075947,61643.1,5214,0
Data,-1,3,None,501277316,1160966741,32530.3,3678,0
Data,-1,4,None,1590601212,3748112198,101454.8,6667,10
Data,-1,5,None,2104338820,4982538289,134908.1,8057,0
Data,-1,6,None,1262797446,3017207678,79553.1,4115,0
Data,-1,1,LambdaVeryVeryLoose,8289981,292756735,20797.5,41,0
Data,-1,2,LambdaVeryVeryLoose,24900126,958702068,61633.4,114,0
Data,-1,3,LambdaVeryVeryLoose,13007225,501083055,32517.4,55,0
Data,-1,4,LambdaVeryVeryLoose,38791843,1592973862,101608.7,135,0
Data,-1,5,LambdaVeryVeryLoose,51016480,2103813947,134875.5,165,0
Data,-1,6,LambdaVeryVeryLoose,31180194,1262631624,79541.4,133,0
MC,1235,1,None,34878000,34878000,0,251,0
MC,1235,2,None,105561000,105561000,0,879,0
MC,1235,3,None,56035000,56035000,0,414,0
MC,1235,4,None,166784000,166784000,0,1272,0
MC,1235,5,None,215168000,215168000,0,1707,0
MC,1235,6,None,130336000,130336000,0,1150,0
MC,1237,1,None,34941000,34941000,0,265,0
MC,1237,2,None,104348000,104348000,0,864,0
MC,1237,3,None,57888000,57888000,0,446,0
MC,1237,4,None,169801000,169801000,0,1359,0
MC,1237,5,None,216089000,216089000,0,1754,0
MC,1237,6,None,135224000,135224000,0,1179,0
MC,998,1,None,175948000,175948000,0,879,2
MC,998,2,None,525504000,525504000,0,2879,0
MC,998,3,None,276381000,276381000,0,1453,0
MC,998,4,None,845899000,845899000,0,4830,0
MC,998,5,None,1113324000,1113324000,0,6705,0
MC,998,6,None,655152000,655152000,0,4401,0
MC,1005,1,None,55254000,55254000,0,314,0
MC,1005,2,None,164722000,164722000,0,1081,0
MC,1005,3,None,88321000,88321000,0,632,0
MC,1005,4,None,267308000,267308000,0,1750,0
MC,1005,5,None,344579000,344579000,0,2271,0
MC,1005,6,None,208664000,208664000,0,1532,0
MC,3429,1,None,75121000,75121000,0,235,0
MC,3429,2,None,227690000,227690000,0,676,0
